	brand_mf	type	dealership_name	dealership_loc	dealership_evaluation	year	km	price	Km	HorsePower	Engine	Fuel_type	Kialakitas	Condition	Sale	doors	people	Transmission
12856	SKODA  Octavia	Octavia Combi 1.0 TSI Style DSG	Magánszemély	(IV. kerület)	Minősített magánszemély	2017. 11.	37 400 km	6 499 000 Ft	37 400 km	114 LE	999 cm3	Benzin	Kombi	Használt	Eladó	5 ajtós	5 fő	Duplakuplung
12857	AUDI  A6	A6 Avant 3.0 V6 TDI quattro S-tronic	Magánszemély	(Celldömölk)	Minősített magánszemély	2014. 01.	278 000 km	6 500 000 Ft	278 000 km	245 LE	2967 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Automata
12858	KIA  Sportage	Sportage 1.6 GDI LX	Magánszemély	(Debrecen)	Minősített magánszemély	2018. 04.	71 650 km	6 000 000 Ft	71 650 km	130 LE	1591 cm3	Benzin	Crossover	Használt	Eladó	5 ajtós	5 fő	Manuális
12859	MITSUBISHI  Outlander	Outlander 2.2 DI-D Invite 4WD	Magánszemély	(Szigethalom)	Minősített magánszemély	2017. 10.	180 000 km	5 900 000 Ft	180 000 km	150 LE	2268 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	7 fő	Automata
12860	MERCEDES-BENZ  E-osztály	E 220 CDI T Classic	Magánszemély	(Szeged)	Minősített magánszemély	2014. 07.	273 000 km	6 500 000 Ft	273 000 km	168 LE	2143 cm3	Dízel	Lépcsőshátú	Használt	Eladó	5 ajtós	5 fő	Tiptronic
12861	NISSAN  Qashqai	Qashqai 1.5 dCi N-Connecta	Magánszemély	(Békés)	Minősített magánszemély	2018. 11.	106 500 km	6 500 000 Ft	106 500 km	109 LE	1461 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	5 fő	Manuális
12862	HONDA  Civic	Civic 1.8 Elegance Navi	Magánszemély	(Kazincbarcika)	Minősített magánszemély	2017. 01.	51 712 km	6 500 000 Ft	51 712 km	140 LE	1798 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
12863	TOYOTA  Prius	PLUG IN HYBRID!! BŐR LED JBL ÜLÉSFŰTÉS NAVI KAMERA	Magánszemély	(Érd)	Minősített magánszemély	2013. 02.	143 290 km	6 590 000 Ft	143 290 km	98 LE	1798 cm3	Hibrid	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Automata
12864	FORD  Transit	V363 L2H2 1,4/3,5 2.0L TDCI (130Le) M6 Van Trend	Magánszemély	(Üllő)	Minősített magánszemély	2019. 11.	110 300 km	6 700 000 Ft  + Áfa	110 300 km	131 LE	1995 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	3 fő	Manuális
12865	OPEL  Vivaro	Vivaro 1.6 CDTI L1H1 2.9t Start-Stop Premium	Magánszemély	(Dunaharaszti)	Minősített magánszemély	2015. 03.	145 413 km	6 700 000 Ft	145 413 km	140 LE	1598 cm3	Dízel	Kisbusz	Használt	Eladó	4 ajtós	6 fő	Manuális
12866	SKODA  Octavia	1.6 CR TDI Style	Magánszemély	(Orosháza)	Minősített magánszemély	2019. 05.	159 000 km	6 799 000 Ft	159 000 km	114 LE	1598 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
12867	HYUNDAI  i30	i30 1.5 DPi Prime	Magánszemély	(XVIII. kerület)	Minősített magánszemély	2022. 05.	16 000 km	6 799 000 Ft	16 000 km	109 LE	1498 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
12868	MERCEDES-BENZ  GLA-osztály	GLA 220 CDI/d 4Matic 7G-DCT	Magánszemély	(Budaörs)	Minősített magánszemély	2014. 06.	198 000 km	6 800 000 Ft	198 000 km	168 LE	2143 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	5 fő	Duplakuplung
12869	MINI  Mini	Mini 1.5 Cooper DKG	Magánszemély	(Leányfalu)	Minősített magánszemély	2019. 04.	103 131 km	6 890 000 Ft	103 131 km	134 LE	1499 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Duplakuplung
12871	PORSCHE  Cayenne	Cayenne Diesel Aut.	Magánszemély	(Szombathely)	Minősített magánszemély	2009. 03.	245 000 km	6 300 000 Ft	245 000 km	236 LE	2967 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	5 fő	Tiptronic
12873	NISSAN  Qashqai	Qashqai 1.6 dCi Tekna Xtronic EURO6	Magánszemély	(Nyíregyháza)	Minősített magánszemély	2016. 07.	58 200 km	6 990 000 Ft	58 200 km	129 LE	1598 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	5 fő	Fokozatmentes
12875	RENAULT  Mégane	Mégane Grandtour 1.5 Blue dCi Intens	Magánszemély	(Pomáz)	Minősített magánszemély	2019. 07.	55 700 km	6 999 000 Ft	55 700 km	114 LE	1461 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
12876	OPEL  Insignia	Insignia Grand Sport 2.0 CDTI Innovation Start/Stop Aut.	Magánszemély	(Kozármisleny)	Minősített magánszemély	2018. 03.	159 000 km	6 200 000 Ft	159 000 km	168 LE	1956 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Tiptronic
12877	SUBARU  Impreza	Impreza 2.5 WRX STI	Magánszemély	(XVII. kerület)	Minősített magánszemély	2008. 01.	178 455 km	7 000 000 Ft	178 455 km	297 LE	2457 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
12878	AUDI  A6	A6 3.0 V6 TDI DPF	Magánszemély	(Szeged)	Minősített magánszemély	2013. 06.	182 000 km	7 190 000 Ft	182 000 km	204 LE	2967 cm3	Dízel	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Tiptronic
12879	OPEL  Vivaro	Vivaro 1.6 CDTI L2H1 2.9t Start-Stop Medium Euro 6	Magánszemély	(Üllő)	Minősített magánszemély	2016. 07.	248 700 km	5 990 000 Ft	248 700 km	123 LE	1598 cm3	Dízel	Kisbusz	Használt	Eladó	4 ajtós	9 fő	Manuális
12880	BMW  X3	X3 xDrive20d	Magánszemély	(XXII. kerület)	Minősített magánszemély	2013. 09.	96 500 km	7 290 000 Ft	96 500 km	184 LE	1995 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	5 fő	Duplakuplung
12882	SKODA  Octavia	Octavia 1.4 TSI Style	Magánszemély	(Paks)	Minősített magánszemély	2018. 07.	27 110 km	7 400 000 Ft	27 110 km	148 LE	1395 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
12883	SEAT  Leon	Leon 1.5 TSI Xcellence DSG	Magánszemély	(Győr)	Minősített magánszemély	2019. 07.	70 012 km	6 947 000 Ft	70 012 km	148 LE	1498 cm3	Benzin	Kombi	Használt	Eladó	5 ajtós	5 fő	Duplakuplung
12884	SUBARU  Levorg	Levorg 1.6 GT Sport Aut.	Magánszemély	(XI. kerület)	Minősített magánszemély	2016. 06.	66 400 km	7 490 000 Ft	66 400 km	168 LE	1600 cm3	Benzin	Kombi	Használt	Eladó	5 ajtós	5 fő	Fokozatmentes
12885	BMW  3-as sorozat	320d Luxury	Magánszemély	(XIII. kerület)	Minősített magánszemély	2015. 11.	136 000 km	7 499 000 Ft	136 000 km	188 LE	1995 cm3	Dízel	Ferdehátú	Használt	Eladó	4 ajtós	5 fő	Automata
12886	MERCEDES-BENZ  C-osztály	C 250 7G-TRONIC	Magánszemély	(III. kerület)	Minősített magánszemély	2014. 12.	166 000 km	7 500 000 Ft	166 000 km	208 LE	1991 cm3	Benzin	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Tiptronic
12888	VOLKSWAGEN  Passat	Passat 2.0 TDI BMT SCR Highline DSG7	Magánszemély	(Piliscsaba)	Minősített magánszemély	2018. 02.	118 455 km	7 590 000 Ft	118 455 km	148 LE	1968 cm3	Dízel	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Duplakuplung
12889	AUDI  A3	A3 Sportback 1.4 TFSI Sport S-tronic e-tron	Magánszemély	(Nagykanizsa)	Minősített magánszemély	2017. 07.	96 640 km	7 180 000 Ft	96 640 km	148 LE	1395 cm3	Hibrid	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Duplakuplung
12891	CITROEN  C5 Aircross	C5 Aircross 1.6 PureTech Shine EAT8	Magánszemély	(Szeged)	Minősített magánszemély	2019. 06.	122 000 km	7 700 000 Ft	122 000 km	179 LE	1598 cm3	Benzin	Crossover	Használt	Eladó	5 ajtós	5 fő	Tiptronic
12892	PEUGEOT  3008	3008 1.2 PureTech Active	Magánszemély	(Szentendre)	Minősített magánszemély	2018. 10.	34 250 km	7 300 000 Ft	34 250 km	129 LE	1198 cm3	Benzin	Crossover	Használt	Eladó	5 ajtós	5 fő	Manuális
12893	MERCEDES-BENZ  GLK-osztály	GLK 220 BlueTEC 4Matic Aut.	Magánszemély	(II. kerület)	Minősített magánszemély	2013. 11.	86 000 km	7 800 000 Ft	86 000 km	168 LE	2143 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	5 fő	Tiptronic
12894	MERCEDES-BENZ  CLS-osztály	CLS 350 CDI BlueEFFICIENCY Aut.	Magánszemély	(Békéscsaba)	Nem minősített eladó	2011. 09.	185 600 km	7 850 000 Ft	185 600 km	262 LE	2987 cm3	Dízel	Kupé	Használt	Eladó	4 ajtós	4 fő	Tiptronic
12895	VOLKSWAGEN  T-Roc	T-Roc 1.0 TSI Style	Magánszemély	(XVI. kerület)	Minősített magánszemély	2018. 08.	21 780 km	7 200 000 Ft	21 780 km	114 LE	999 cm3	Benzin	Crossover	Használt	Eladó	5 ajtós	5 fő	Manuális
12896	VOLKSWAGEN  T-Cross	T-Cross 1.0 TSI Life	Magánszemély	(Kaposvár)	Nem minősített eladó	2021. 08.	11 500 km	7 900 000 Ft	11 500 km	109 LE	999 cm3	Benzin	Crossover	Használt	Eladó	5 ajtós	5 fő	Manuális
12897	AUDI  A6	A6 3.0 V6 TDI DPF quattro S-tronic	Magánszemély	(Sárvár)	Minősített magánszemély	2011. 03.	227 500 km	7 850 000 Ft	227 500 km	242 LE	2967 cm3	Dízel	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Duplakuplung
12898	MITSUBISHI  Outlander	Outlander 2.0 PHEV Instyle Navi 4WD CVT	Magánszemély	(Bocskaikert)	Nem minősített eladó	2017. 12.	180 317 km	7 950 000 Ft	180 317 km	119 LE	1998 cm3	Hibrid	Crossover	Használt	Eladó	5 ajtós	5 fő	Fokozatmentes
12899	NISSAN  Qashqai	Qashqai 1.3 DIG-T N-Connecta	Magánszemély	(III. kerület)	Minősített magánszemély	2019. 10.	25 900 km	7 950 000 Ft	25 900 km	138 LE	1332 cm3	Benzin	Crossover	Használt	Eladó	5 ajtós	5 fő	Manuális
12900	KIA  Sportage	Sportage 1.6 GDI LX Navi	Magánszemély	(Debrecen)	Nem minősített eladó	2018. 07.	17 200 km	7 990 000 Ft	17 200 km	132 LE	1591 cm3	Benzin	Crossover	Használt	Eladó	5 ajtós	5 fő	Manuális
12901	BMW  X3	X3 xDrive20d Aut.	Magánszemély	(Cegléd)	Minősített magánszemély	2013. 08.	105 000 km	7 999 999 Ft	105 000 km	188 LE	1995 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	5 fő	Tiptronic
12902	VOLKSWAGEN  Taigo	Taigo 1.0 TSI Life	Magánszemély	(Heves)	Minősített magánszemély	2022. 07.	16 000 km	7 999 999 Ft	16 000 km	94 LE	999 cm3	Benzin	Crossover	Használt	Eladó	5 ajtós	5 fő	Manuális
12903	AUDI  A6	A6 3.0 V6 TFSI quattro S-tronic	Magánszemély	(XIII. kerület)	Minősített magánszemély	2014. 03.	208 000 km	8 000 000 Ft	208 000 km	306 LE	2995 cm3	Benzin	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Duplakuplung
12904	AUDI  A4	A4 40 TDI Basis quattro S-tronic	Magánszemély	(Pápa)	Minősített magánszemély	2019. 02.	167 825 km	7 874 000 Ft	167 825 km	188 LE	1968 cm3	Dízel	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Duplakuplung
12905	NISSAN  Navara	Navara 2.3 dCi 190 Double Cab Tekna EURO6	Magánszemély	(Tass)	Minősített magánszemély	2017. 02.	166 000 km	8 200 000 Ft	166 000 km	188 LE	2298 cm3	Dízel	Pickup	Használt	Eladó	4 ajtós	5 fő	Manuális
12906	OPEL  Grandland X	Grandland X 1.6 CDTI Innovation Aut.	Magánszemély	(Baktalórántháza)	Minősített magánszemély	2018. 06.	101 000 km	8 255 000 Ft	101 000 km	118 LE	1560 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	5 fő	Tiptronic
12907	FORD  Focus	Focus 1.5 EcoBlue Titanium Aut.	Magánszemély	(XVII. kerület)	Minősített magánszemély	2020. 02.	46 619 km	8 400 000 Ft	46 619 km	118 LE	1499 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Tiptronic
12908	AUDI  A4	A4 Avant 3.0 TDI Sport quattro tiptronic	Magánszemély	(Tata)	Minősített magánszemély	2016. 08.	219 000 km	8 490 000 Ft	219 000 km	268 LE	2967 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Tiptronic
12911	BMW  X6	X6 M50d Aut.	Magánszemély	(Heves)	Nem minősített eladó	2012. 10.	200 500 km	8 499 999 Ft	200 500 km	376 LE	2993 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	5 fő	Tiptronic
12912	TOYOTA  Rav4	Rav4 2.5 Hybrid Trend Safety e-CVT	Magánszemély	(XVI. kerület)	Minősített magánszemély	2016. 12.	80 300 km	8 590 000 Ft	80 300 km	197 LE	2494 cm3	Hibrid	Crossover	Használt	Eladó	5 ajtós	5 fő	Fokozatmentes
12913	MERCEDES-BENZ  CLA-osztály	CLA 200 CDI/d AMG Sport 7G-DCT	Magánszemély	(Mohács)	Minősített magánszemély	2017. 11.	80 000 km	8 600 000 Ft	80 000 km	134 LE	2143 cm3	Dízel	Kombi	Használt	Eladó	4 ajtós	5 fő	Duplakuplung
12914	SUZUKI  SX4 S-Cross	SX4 S-Cross 1.4 Hybrid GL+ 4WD Aut.	Magánszemély	(II. kerület)	Minősített magánszemély	2021. 11.	26 400 km	7 999 000 Ft	26 400 km	128 LE	1373 cm3	Benzin	Crossover	Használt	Eladó	5 ajtós	5 fő	Tiptronic
12915	OPEL  Insignia	Insignia Grand Sport 2.0 T Innovation Start/Stop AWD Aut.	Magánszemély	(Miskolc)	Minősített magánszemély	2018. 01.	88 900 km	8 900 000 Ft	88 900 km	256 LE	1998 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Tiptronic
12916	FORD  Focus	Focus 2.0 EcoBoost ST2 S/S	Magánszemély	(Hajdúböszörmény)	Nem minősített eladó	2016. 10.	13 600 km	8 700 000 Ft	13 600 km	247 LE	2000 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
12917	MAZDA  CX-5	CX-5 2.0i Revolution AWD	Magánszemély	(Harka)	Minősített magánszemély	2018. 04.	75 200 km	8 790 000 Ft	75 200 km	160 LE	1998 cm3	Benzin	Crossover	Használt	Eladó	5 ajtós	5 fő	Manuális
12918	MAZDA  Mazda 3	Mazda 3 2.0 Skyactive GT Plus Aut.	Magánszemély	(Nyíregyháza)	Nem minősített eladó	2020. 01.	43 000 km	8 990 000 Ft	43 000 km	177 LE	1998 cm3	Hibrid	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Tiptronic
12919	BMW  3-as sorozat	330e iPerformance M Sport Aut.	Magánszemély	(Salgótarján)	Nem minősített eladó	2018. 05.	145 610 km	8 999 999 Ft	145 610 km	181 LE	1998 cm3	Hibrid	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Tiptronic
12920	BMW  3-as sorozat	320d	Magánszemély	(Zalaegerszeg)	Minősített magánszemély	2015. 05.	89 000 km	8 999 999 Ft	89 000 km	181 LE	1995 cm3	Dízel	Lépcsőshátú	Használt	Eladó	5 ajtós	5 fő	Automata
12921	VOLVO  XC60	XC60 2.0 [D4] Inscription AWD Geartronic	Magánszemély	(II. kerület)	Minősített magánszemély	2019. 01.	256 000 km	9 000 000 Ft	256 000 km	188 LE	1969 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	5 fő	Tiptronic
12922	KIA  Sorento	Sorento 2.2 CRDi EX Prémium 4WD Aut. [7 személy]	Magánszemély	(Csömend)	Minősített magánszemély	2017. 10.	94 706 km	9 150 000 Ft	94 706 km	197 LE	2199 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	7 fő	Tiptronic
12923	MERCEDES-BENZ  M-osztály	ML 350 BlueTEC Aut.	Magánszemély	(Nyíregyháza)	Nem minősített eladó	2012. 01.	175 000 km	9 190 000 Ft	175 000 km	255 LE	2987 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	5 fő	Tiptronic
12924	OPEL  Mokka	Mokka 1.2 T Elegance Aut.	Magánszemély	(Eger)	Minősített magánszemély	2021. 12.	7 584 km	9 000 000 Ft	7 584 km	129 LE	1199 cm3	Benzin	Crossover	Használt	Eladó	5 ajtós	5 fő	Tiptronic
12925	FORD  Kuga	Kuga 1.5 EcoBoost Freedom	Magánszemély	(Békésszentandrás)	Minősített magánszemély	2021. 12.	31 000 km	9 200 000 Ft	31 000 km	148 LE	1499 cm3	Benzin	Crossover	Használt	Eladó	5 ajtós	5 fő	Manuális
12926	SUZUKI  S-Cross	S-Cross 1.4 Hybrid GL+ 4WD Aut.	Magánszemély	(Komló)	Minősített magánszemély	2021. 08.	21 190 km	9 450 000 Ft	21 190 km	128 LE	1373 cm3	Benzin	Crossover	Használt	Eladó	5 ajtós	5 fő	Tiptronic
12927	MERCEDES-BENZ  E-osztály	E 300 9G-TRONIC	Magánszemély	(XIX. kerület)	Minősített magánszemély	2017. 05.	57 300 km	9 450 000 Ft	57 300 km	231 LE	2987 cm3	Dízel	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Tiptronic
12928	KIA  Sorento	Sorento 2.2 CRDI LX [7 személy]	Magánszemély	(Eger)	Minősített magánszemély	2020. 03.	75 532 km	9 200 000 Ft	75 532 km	197 LE	2199 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	7 fő	Manuális
12929	HYUNDAI  Santa Fe	Santa Fe 2.2 CRDi Executive Aut. [7 személy]	Magánszemély	(Szolnok)	Minősített magánszemély	2016. 05.	111 825 km	9 650 000 Ft	111 825 km	197 LE	2199 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	7 fő	Tiptronic
12931	RENAULT  Captur	Captur 1.5 Blue dCi Intens EDC	Magánszemély	(Aranyosapáti)	Minősített magánszemély	2020. 06.	27 300 km	8 800 000 Ft	27 300 km	114 LE	1461 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	5 fő	Duplakuplung
12932	VOLVO  XC60	XC60 2.0 [D4] Momentum AWD	Magánszemély	(XI. kerület)	Minősített magánszemély	2015. 03.	82 000 km	9 790 000 Ft	82 000 km	190 LE	2400 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	5 fő	Automata
12933	MERCEDES-BENZ  E-osztály	E 220 d T 9G-TRONIC	Magánszemély	(I. kerület)	Minősített magánszemély	2017. 10.	136 000 km	8 500 000 Ft	136 000 km	192 LE	1950 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Tiptronic
12934	BMW  3-as sorozat	330e iPerformance M Sport Aut.	Magánszemély	(Hatvan)	Minősített magánszemély	2017. 03.	218 706 km	9 899 900 Ft	218 706 km	181 LE	1998 cm3	Hibrid	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Tiptronic
12935	MERCEDES-BENZ  E-osztály	E 220 d T 9G-TRONIC	Magánszemély	(Budaörs)	Minősített magánszemély	2017. 02.	145 000 km	9 975 000 Ft	145 000 km	192 LE	1950 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Tiptronic
12936	MERCEDES-BENZ  CLA-osztály	CLA 220 CDI/d Urban 7G-DCT	Magánszemély	(Bocfölde)	Nem minősített eladó	2017. 05.	75 000 km	9 990 000 Ft	75 000 km	174 LE	2143 cm3	Dízel	Kupé	Használt	Eladó	4 ajtós	5 fő	Duplakuplung
12937	VOLKSWAGEN  Golf	Golf 2.0 TDI SCR Life DSG	Magánszemély	(Pécs)	Nem minősített eladó	2020. 09.	36 000 km	10 000 000 Ft	36 000 km	148 LE	1968 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Duplakuplung
12938	MERCEDES-BENZ  Vito	Vito 116 CDI BlueTec Tourer Base E	Magánszemély	(Feketeerdő)	Minősített magánszemély	2020. 11.	48 000 km	10 000 000 Ft  + Áfa	48 000 km	161 LE	1950 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	3 fő	Manuális
12939	CHEVROLET  Malibu	Monte carlo	Magánszemély	(Zsámbék)	Minősített magánszemély	1976. 01.	55 000 km	10 000 000 Ft	55 000 km	150 LE	5700 cm3	Benzin	Kupé	Használt	Eladó	3 ajtós	6 fő	Automata
12940	VOLKSWAGEN  T-Roc	T-Roc 1.5 TSI ACT Style DSG	Magánszemély	(X. kerület)	Minősített magánszemély	2020. 02.	24 050 km	10 290 000 Ft	24 050 km	148 LE	1498 cm3	Benzin	Crossover	Használt	Eladó	5 ajtós	5 fő	Duplakuplung
12941	VOLKSWAGEN  Arteon	Arteon 2.0 TDI SCR R-Line DSG	Magánszemély	(Veresegyház)	Nem minősített eladó	2017. 12.	83 000 km	10 299 000 Ft	83 000 km	148 LE	1968 cm3	Dízel	Kupé	Használt	Eladó	5 ajtós	5 fő	Duplakuplung
12943	TOYOTA  Yaris	1.5 Hybrid Executive VIP e-CVT	Magánszemély	(Barcs)	Nem minősített eladó	2022. 12.	90 km	10 499 000 Ft	90 km	92 LE	1490 cm3	Hibrid	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Fokozatmentes
12944	OPEL  Mokka	Mokka 1.2 T GS Line	Magánszemély	(Debrecen)	Nem minősített eladó	2022. 04.	3 602 km	9 480 000 Ft	3 602 km	129 LE	1199 cm3	Benzin	Crossover	Használt	Eladó	5 ajtós	5 fő	Manuális
12945	BMW  4-es sorozat	428i M Sport Aut.	Magánszemély	(Sopron)	Minősített magánszemély	2016. 03.	77 658 km	10 500 000 Ft	77 658 km	242 LE	1997 cm3	Benzin	Kupé	Használt	Eladó	2 ajtós	4 fő	Tiptronic
12946	MERCEDES-BENZ  A-osztály	A 180 7G-DCT	Magánszemély	(XI. kerület)	Minősített magánszemély	2019. 06.	38 000 km	8 890 000 Ft	38 000 km	134 LE	1332 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Duplakuplung
12947	BMW  5-ös sorozat	530d Aut.	Magánszemély	(Békéscsaba)	Minősített magánszemély	2017. 10.	157 000 km	10 800 000 Ft	157 000 km	262 LE	2993 cm3	Dízel	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Tiptronic
12948	VOLKSWAGEN  Touran	Touran 1.5 TSI ACT Highline [7 személy]	Magánszemély	(Miskolc)	Minősített magánszemély	2020. 01.	54 400 km	10 900 000 Ft	54 400 km	148 LE	1498 cm3	Benzin	Egyterű	Használt	Eladó	5 ajtós	7 fő	Manuális
12950	FORD  Ranger	Ranger 2.2 TDCi 4x4 XLT	Magánszemély	(Szentendre)	Nem minősített eladó	2014. 11.	45 316 km	10 990 000 Ft	45 316 km	158 LE	2198 cm3	Dízel	Pickup	Használt	Eladó	4 ajtós	5 fő	Manuális
12951	MERCEDES-BENZ  CLA-osztály	CLA Shooting Brake 200 7G-DCT	Magánszemély	(Pécs)	Minősített magánszemély	2020. 01.	95 000 km	10 800 000 Ft	95 000 km	161 LE	1332 cm3	Benzin	Kombi	Használt	Eladó	5 ajtós	5 fő	Duplakuplung
12952	VOLKSWAGEN  Touareg	Touareg 3.0 V6 TDI BMT SCR tiptronic Terrain Tech	Magánszemély	(XI. kerület)	Minősített magánszemély	2017. 08.	124 000 km	11 000 000 Ft	124 000 km	259 LE	2967 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	5 fő	Tiptronic
12953	AUDI  A3	A3 Sportback 40 TFSI e S line S-tronic	Magánszemély	(Harka)	Minősített magánszemély	2020. 04.	63 500 km	11 000 000 Ft	63 500 km	204 LE	1395 cm3	Hibrid	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Duplakuplung
12954	BMW  5-ös sorozat	530d Aut.	Magánszemély	(Érd)	Nem minősített eladó	2018. 06.	217 800 km	11 200 000 Ft	217 800 km	262 LE	2993 cm3	Dízel	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Tiptronic
12955	TOYOTA  Corolla	Corolla 1.8 Hybrid Comfort Tech e-CVT	Magánszemély	(XIX. kerület)	Minősített magánszemély	2021. 12.	24 368 km	11 200 000 Ft	24 368 km	97 LE	1798 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Fokozatmentes
12956	MERCEDES-BENZ  CLA-osztály	Mercedes-AMG CLA Shooting Brake 45 4Matic 7G-DCT	Magánszemély	(Szombathely)	Minősített magánszemély	2015. 02.	139 665 km	11 450 000 Ft	139 665 km	376 LE	1991 cm3	Benzin	Kombi	Használt	Eladó	5 ajtós	5 fő	Duplakuplung
12957	VOLVO  XC60	XC60 2.0 [D4] Inscription Geartronic	Magánszemély	(Székesfehérvár)	Minősített magánszemély	2018. 11.	46 800 km	11 490 000 Ft	46 800 km	188 LE	1969 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	5 fő	Tiptronic
12958	MINI  Mini	Mini 2.0 Cooper S DKG	Magánszemély	(Törökbálint)	Minősített magánszemély	2019. 06.	25 130 km	10 190 000 Ft	25 130 km	192 LE	1998 cm3	Benzin	Ferdehátú	Használt	Eladó	3 ajtós	4 fő	Duplakuplung
12959	AUDI  Q5	Q5 40 TDI Basis quattro S-tronic	Magánszemély	(IV. kerület)	Minősített magánszemély	2019. 05.	197 000 km	11 500 000 Ft	197 000 km	188 LE	1968 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	5 fő	Duplakuplung
12960	SKODA  Kodiaq	Kodiaq 2.0 TDI SCR Ambition DSG	Magánszemély	(Mosonmagyaróvár)	Minősített magánszemély	2020. 12.	111 000 km	11 500 000 Ft	111 000 km	148 LE	1968 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	5 fő	Duplakuplung
12961	HONDA  CR-V	CR-V 1.5 Executive AWD CVT	Magánszemély	(Zalaegerszeg)	Minősített magánszemély	2020. 07.	35 005 km	11 190 000 Ft	35 005 km	191 LE	1498 cm3	Benzin	Crossover	Használt	Eladó	5 ajtós	5 fő	Fokozatmentes
12962	MERCEDES-BENZ  GLA-osztály	GLA 220 4Matic 7G-DCT	Magánszemély	(Biatorbágy)	Minősített magánszemély	2018. 01.	39 950 km	11 500 000 Ft	39 950 km	181 LE	1991 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	5 fő	Duplakuplung
12963	VOLVO  V90	V90 2.0 D [D5] Inscription AWD Geartronic	Magánszemély	(XI. kerület)	Minősített magánszemély	2017. 05.	208 500 km	11 555 000 Ft	208 500 km	235 LE	1969 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Tiptronic
12964	AUDI  Q5	Q5 35 TDI Design quattro S-tronic	Magánszemély	(XIV. kerület)	Minősített magánszemély	2019. 08.	52 525 km	11 700 000 Ft	52 525 km	163 LE	1968 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Duplakuplung
